Namn,K,M
Aaban,0,3
Aad,0,2
Aadam,0,19
Aadan,0,16
Aadel,0,9
Aaden,0,7
Aadhav,0,2
Aadhiran,0,4
Aadhrit,0,2
Aadhvik,0,2
Aadi,0,7
Aadil,0,12
Aadit,0,3
Aadithya,0,3
Aaditya,0,4
Aado,0,3
Aadrian,0,2
Aadu,0,5
Aadvik,0,10
Aaed,0,11
Aage,0,62
Aagney,0,2
Aahaan,0,2
Aahed,0,2
Aahil,0,18
Aahnik,0,2
Aaid,0,4
Aakash,0,13
Aake,0,3
Aakif,0,2
Aako,0,8
Aale,0,4
Aaliyan,0,2
Aamar,0,2
Aamer,0,33
Aamir,0,50
Aamos,0,2
Aanas,0,2
Aapo,0,7
Aaqib,0,2
Aaraf,0,2
Aaran,0,4
Aarash,0,2
Aarav,0,58
Aare,0,27
Aaref,0,2
Aarez,0,3
Aari,0,4
Aarian,0,5
Aarib,0,2
Aarif,0,2
Aarin,0,3
Aarish,0,4
Aarit,0,2
Aariv,0,5
Aariz,0,28
Aarnav,0,2
Aarne,0,151
Aarni,0,11
Aarno,0,51
Aaro,0,55
Aarón,0,11
Aaron,5,1385
Aarre,0,64
Aarron,0,2
Aart,0,11
Aarto,0,5
Aarush,0,24
Aarya,15,4
Aaryan,0,19
Aaryav,0,2
Aasem,0,3
Aashar,0,2
Aashir,0,2
Aashish,0,6
Aashray,0,2
Aasim,0,4
Aaso,0,2
Aasr,0,2
Aassem,0,3
Aate,0,6
Aatef,0,2
Aatif,0,2
Aatos,0,27
Aatto,0,10
Aatu,0,8
Aawat,0,3
Aavo,0,7
Aavyan,0,2
Aayad,0,2
Aayan,2,29
Aayansh,0,5
Aayush,0,13
Aayushman,0,2
Aazar,0,2
Ab,0,3
Aba,3,6
Abaadir,0,2
Abaan,0,3
Abaas,0,23
Ababacar,0,3
Ababacarr,0,4
Abad,0,9
Abada,0,4
Abadi,0,13
Abadir,0,8
Abakar,0,3
Abakir,0,8
Abal,0,3
Abalfazl,0,2
Aban,0,12
Abanob,0,39
Abanoub,0,45
Abas,0,177
Abase,0,3
Abaseen,0,4
Abasin,0,3
Abass,0,40
Abate,0,3
Abather,0,2
Abay,0,4
Abayomi,0,6
Abaz,0,26
Abazar,0,6
Abazer,0,4
Abba,2,6
Abbar,0,2
Abbas,3,1459
Abbasali,0,12
Abbas-Ali,0,2
Abbass,0,16
Abbe,4,1118
Abbed,0,2
Abbes,0,5
Abbey,6,6
Abbi,2,4
Abbod,0,7
Abbos,0,4
Abbot,0,2
Abboud,0,73
Abby,33,11
Abd,0,630
Abd Alaziz,0,3
Abd Alhadi,0,2
Abd Alkader,0,4
Abd Allah,0,2
Abd Alrahim,0,2
Abd Alrahman,0,15
Abd Alsalam,0,2
