Kommun,Civilstånd,Ålder,Kön,År,Antal
1280 Malmö,ogifta,0,Män,1968,1737
1280 Malmö,ogifta,0,Män,1969,1590
1280 Malmö,ogifta,0,Män,1970,1680
1280 Malmö,ogifta,0,Män,1971,1718
1280 Malmö,ogifta,0,Män,1972,1646
1280 Malmö,ogifta,0,Män,1973,1481
1280 Malmö,ogifta,0,Män,1974,1376
1280 Malmö,ogifta,0,Män,1975,1333
1280 Malmö,ogifta,0,Män,1976,1267
1280 Malmö,ogifta,0,Män,1977,1234
1280 Malmö,ogifta,0,Män,1978,1169
1280 Malmö,ogifta,0,Män,1979,1212
1280 Malmö,ogifta,0,Män,1980,1170
1280 Malmö,ogifta,0,Män,1981,1194
1280 Malmö,ogifta,0,Män,1982,1154
1280 Malmö,ogifta,0,Män,1983,1253
1280 Malmö,ogifta,0,Män,1984,1178
1280 Malmö,ogifta,0,Män,1985,1255
1280 Malmö,ogifta,0,Män,1986,1286
1280 Malmö,ogifta,0,Män,1987,1405
1280 Malmö,ogifta,0,Män,1988,1463
1280 Malmö,ogifta,0,Män,1989,1518
1280 Malmö,ogifta,0,Män,1990,1595
1280 Malmö,ogifta,0,Män,1991,1558
1280 Malmö,ogifta,0,Män,1992,1580
1280 Malmö,ogifta,0,Män,1993,1532
1280 Malmö,ogifta,0,Män,1994,1521
1280 Malmö,ogifta,0,Män,1995,1535
1280 Malmö,ogifta,0,Män,1996,1411
1280 Malmö,ogifta,0,Män,1997,1469
1280 Malmö,ogifta,0,Män,1998,1450
1280 Malmö,ogifta,0,Män,1999,1405
1280 Malmö,ogifta,0,Män,2000,1391
1280 Malmö,ogifta,0,Män,2001,1531
1280 Malmö,ogifta,0,Män,2002,1662
1280 Malmö,ogifta,0,Män,2003,1613
1280 Malmö,ogifta,0,Män,2004,1685
1280 Malmö,ogifta,0,Män,2005,1788
1280 Malmö,ogifta,0,Män,2006,1989
1280 Malmö,ogifta,0,Män,2007,2072
1280 Malmö,ogifta,0,Män,2008,2234
1280 Malmö,ogifta,0,Män,2009,2428
1280 Malmö,ogifta,0,Män,2010,2525
1280 Malmö,ogifta,0,Män,2011,2417
1280 Malmö,ogifta,0,Män,2012,2588
1280 Malmö,ogifta,0,Män,2013,2562
1280 Malmö,ogifta,0,Män,2014,2724
1280 Malmö,ogifta,0,Män,2015,2624
1280 Malmö,ogifta,0,Män,2016,2564
1280 Malmö,ogifta,0,Män,2017,2610
1280 Malmö,ogifta,0,Män,2018,2517
1280 Malmö,ogifta,0,Män,2019,2515
1280 Malmö,ogifta,0,Män,2020,2447
1280 Malmö,ogifta,0,Kvinnor,1968,1644
1280 Malmö,ogifta,0,Kvinnor,1969,1558
1280 Malmö,ogifta,0,Kvinnor,1970,1509
1280 Malmö,ogifta,0,Kvinnor,1971,1575
1280 Malmö,ogifta,0,Kvinnor,1972,1451
1280 Malmö,ogifta,0,Kvinnor,1973,1358
1280 Malmö,ogifta,0,Kvinnor,1974,1353
1280 Malmö,ogifta,0,Kvinnor,1975,1339
1280 Malmö,ogifta,0,Kvinnor,1976,1183
1280 Malmö,ogifta,0,Kvinnor,1977,1086
1280 Malmö,ogifta,0,Kvinnor,1978,1146
1280 Malmö,ogifta,0,Kvinnor,1979,1099
1280 Malmö,ogifta,0,Kvinnor,1980,1100
1280 Malmö,ogifta,0,Kvinnor,1981,1085
1280 Malmö,ogifta,0,Kvinnor,1982,1083
