Stad,År,Befolkning
Alingsås,1800,851
Alingsås,1810,862
Alingsås,1820,950
Alingsås,1830,1210
Alingsås,1840,1267
Alingsås,1850,1388
Alingsås,1860,1616
Alingsås,1870,1954
Alingsås,1880,2460
Alingsås,1890,2712
Alingsås,1900,3301
Alingsås,1910,5005
Alingsås,1920,6245
Alingsås,1930,8866
Alingsås,1940,10294
Alingsås,1950,12756
Alingsås,1960,17546
Alingsås,1965,19281
Alingsås,1967,19754
Arboga,1800,1425
Arboga,1810,1412
Arboga,1820,1582
Arboga,1830,1768
Arboga,1840,2013
Arboga,1850,2233
Arboga,1860,2882
Arboga,1870,3318
Arboga,1880,3833
Arboga,1890,4576
Arboga,1900,5254
Arboga,1910,5173
Arboga,1920,5086
Arboga,1930,4774
Arboga,1940,5210
Arboga,1950,9458
Arboga,1960,11080
Arboga,1965,12042
Arboga,1967,12286
Arvika,1800,NA
Arvika,1810,NA
Arvika,1820,NA
Arvika,1830,NA
Arvika,1840,NA
Arvika,1850,NA
Arvika,1860,NA
Arvika,1870,NA
Arvika,1880,NA
Arvika,1890,NA
Arvika,1900,NA
Arvika,1910,NA
Arvika,1920,5343
Arvika,1930,7981
Arvika,1940,8953
Arvika,1950,15173
Arvika,1960,15778
Arvika,1965,15983
Arvika,1967,15956
Askersund,1800,693
Askersund,1810,768
Askersund,1820,757
Askersund,1830,787
Askersund,1840,960
Askersund,1850,1047
Askersund,1860,1217
Askersund,1870,1433
Askersund,1880,1625
Askersund,1890,1508
Askersund,1900,1784
Askersund,1910,2000
Askersund,1920,2057
Askersund,1930,2102
Askersund,1940,2152
Askersund,1950,2306
Askersund,1960,4268
Askersund,1965,3886
Askersund,1967,3867
Avesta,1800,NA
Avesta,1810,NA
Avesta,1820,NA
Avesta,1830,NA
Avesta,1840,NA
Avesta,1850,NA
Avesta,1860,NA
Avesta,1870,NA
Avesta,1880,NA
Avesta,1890,NA
Avesta,1900,NA
Avesta,1910,NA
Avesta,1920,5532
Avesta,1930,5166
Avesta,1940,6088
Avesta,1950,8103
Avesta,1960,10880
Avesta,1965,10610
Avesta,1967,29082
Boden,1800,NA
Boden,1810,NA
Boden,1820,NA
Boden,1830,NA
Boden,1840,NA
Boden,1850,NA
Boden,1860,NA
Boden,1870,NA
Boden,1880,NA
Boden,1890,NA
Boden,1900,NA
Boden,1910,NA
Boden,1920,6220
Boden,1930,6517
Boden,1940,7724
Boden,1950,11362
Boden,1960,13719
Boden,1965,14354
Boden,1967,24899
Bollnäs,1800,NA
Bollnäs,1810,NA
Bollnäs,1820,NA
Bollnäs,1830,NA
Bollnäs,1840,NA
Bollnäs,1850,NA
Bollnäs,1860,NA
Bollnäs,1870,NA
Bollnäs,1880,NA
Bollnäs,1890,NA
Bollnäs,1900,NA
Bollnäs,1910,NA
Bollnäs,1920,NA
Bollnäs,1930,NA
Bollnäs,1940,NA
Bollnäs,1950,5317
Bollnäs,1960,16711
Bollnäs,1965,16773
Bollnäs,1967,17093
Borgholm,1800,NA
Borgholm,1810,NA
Borgholm,1820,109
Borgholm,1830,288
Borgholm,1840,481
Borgholm,1850,545
Borgholm,1860,658
Borgholm,1870,817
Borgholm,1880,906
Borgholm,1890,840
Borgholm,1900,926
Borgholm,1910,1151
Borgholm,1920,1269
Borgholm,1930,1981
Borgholm,1940,2036
Borgholm,1950,2314
Borgholm,1960,2489
Borgholm,1965,2443
Borgholm,1967,2445
Borlänge,1800,NA
Borlänge,1810,NA
Borlänge,1820,NA
Borlänge,1830,NA
Borlänge,1840,NA
Borlänge,1850,NA
Borlänge,1860,NA
Borlänge,1870,NA
Borlänge,1880,NA
Borlänge,1890,NA
Borlänge,1900,NA
Borlänge,1910,NA
Borlänge,1920,NA
Borlänge,1930,NA
Borlänge,1940,NA
Borlänge,1950,21664
Borlänge,1960,26685
Borlänge,1965,28094
Borlänge,1967,29060
Borås,1800,1774
Borås,1810,1750
Borås,1820,2053
Borås,1830,2194
Borås,1840,2378
Borås,1850,2733
Borås,1860,2988
Borås,1870,3251
Borås,1880,4723
Borås,1890,8106
Borås,1900,15837
Borås,1910,21541
Borås,1920,28226
Borås,1930,38235
Borås,1940,48324
Borås,1950,58019
Borås,1960,67069
Borås,1965,69528
Borås,1967,70144
Djursholm,1800,NA
Djursholm,1810,NA
Djursholm,1820,NA
Djursholm,1830,NA
Djursholm,1840,NA
Djursholm,1850,NA
Djursholm,1860,NA
Djursholm,1870,NA
Djursholm,1880,NA
Djursholm,1890,NA
Djursholm,1900,NA
Djursholm,1910,NA
Djursholm,1920,4746
Djursholm,1930,6221
Djursholm,1940,6139
Djursholm,1950,7362
Djursholm,1960,7386
Djursholm,1965,7681
Djursholm,1967,12630
Eksjö,1800,1013
Eksjö,1810,1150
Eksjö,1820,1222
Eksjö,1830,1445
Eksjö,1840,1700
Eksjö,1850,1866
Eksjö,1860,1912
Eksjö,1870,2304
Eksjö,1880,2854
Eksjö,1890,3218
Eksjö,1900,3814
Eksjö,1910,5451
Eksjö,1920,5908
Eksjö,1930,6616
Eksjö,1940,7304
Eksjö,1950,9755
Eksjö,1960,10122
Eksjö,1965,9877
Eksjö,1967,9887
Enköping,1800,1139
Enköping,1810,1112
Enköping,1820,1189
Enköping,1830,1206
Enköping,1840,1309
Enköping,1850,1413
Enköping,1860,1553
Enköping,1870,1885
Enköping,1880,2545
Enköping,1890,3289
Enköping,1900,4201
Enköping,1910,5137
Enköping,1920,5938
Enköping,1930,5895
Enköping,1940,6403
Enköping,1950,10191
Enköping,1960,13233
Enköping,1965,16125
Enköping,1967,17785
Eskilstuna,1800,1341
Eskilstuna,1810,1855
Eskilstuna,1820,2010
Eskilstuna,1830,2679
Eskilstuna,1840,3260
Eskilstuna,1850,3961
Eskilstuna,1860,4628
Eskilstuna,1870,5716
Eskilstuna,1880,8161
Eskilstuna,1890,10909
Eskilstuna,1900,13663
Eskilstuna,1910,28364
Eskilstuna,1920,30253
Eskilstuna,1930,32674
Eskilstuna,1940,40725
Eskilstuna,1950,53363
Eskilstuna,1960,59072
Eskilstuna,1965,63790
Eskilstuna,1967,65605
Eslöv,1800,NA
Eslöv,1810,NA
Eslöv,1820,NA
Eslöv,1830,NA
Eslöv,1840,NA
Eslöv,1850,NA
Eslöv,1860,NA
Eslöv,1870,NA
Eslöv,1880,NA
Eslöv,1890,NA
Eslöv,1900,NA
Eslöv,1910,NA
Eslöv,1920,5964
Eslöv,1930,6035
Eslöv,1940,6392
Eslöv,1950,7138
Eslöv,1960,9674
Eslöv,1965,11387
Eslöv,1967,14771
Fagersta,1800,NA
Fagersta,1810,NA
Fagersta,1820,NA
Fagersta,1830,NA
Fagersta,1840,NA
Fagersta,1850,NA
Fagersta,1860,NA
Fagersta,1870,NA
Fagersta,1880,NA
Fagersta,1890,NA
Fagersta,1900,NA
Fagersta,1910,NA
Fagersta,1920,NA
Fagersta,1930,NA
Fagersta,1940,NA
Fagersta,1950,13062
Fagersta,1960,15527
Fagersta,1965,15992
Fagersta,1967,16661
Falkenberg,1800,668
Falkenberg,1810,636
Falkenberg,1820,663
Falkenberg,1830,792
Falkenberg,1840,862
Falkenberg,1850,953
Falkenberg,1860,1131
Falkenberg,1870,1364
Falkenberg,1880,1600
Falkenberg,1890,1760
Falkenberg,1900,2537
Falkenberg,1910,4452
Falkenberg,1920,4985
Falkenberg,1930,5604
Falkenberg,1940,6640
Falkenberg,1950,8446
Falkenberg,1960,11014
Falkenberg,1965,12502
Falkenberg,1967,12927
Falköping,1800,451
Falköping,1810,461
Falköping,1820,477
Falköping,1830,502
Falköping,1840,586
Falköping,1850,693
Falköping,1860,1191
Falköping,1870,1705
Falköping,1880,2575
Falköping,1890,2799
Falköping,1900,3134
Falköping,1910,4800
Falköping,1920,6236
Falköping,1930,6733
Falköping,1940,9063
Falköping,1950,11244
Falköping,1960,14421
Falköping,1965,15888
Falköping,1967,16062
Falun,1800,4791
Falun,1810,4266
Falun,1820,4020
Falun,1830,4060
Falun,1840,4161
Falun,1850,4463
Falun,1860,4970
Falun,1870,6203
Falun,1880,7305
Falun,1890,8010
Falun,1900,9606
Falun,1910,11582
Falun,1920,12726
Falun,1930,13369
Falun,1940,14419
Falun,1950,16852
Falun,1960,18813
Falun,1965,18625
Falun,1967,33704
Filipstad,1800,NA
Filipstad,1810,NA
Filipstad,1820,NA
Filipstad,1830,NA
Filipstad,1840,1106
Filipstad,1850,1283
Filipstad,1860,1784
Filipstad,1870,2211
Filipstad,1880,2937
Filipstad,1890,3209
Filipstad,1900,3533
Filipstad,1910,4420
Filipstad,1920,4725
Filipstad,1930,4632
Filipstad,1940,5034
Filipstad,1950,6557
Filipstad,1960,7513
Filipstad,1965,7578
Filipstad,1967,7605
Flen,1800,NA
Flen,1810,NA
Flen,1820,NA
Flen,1830,NA
Flen,1840,NA
Flen,1850,NA
Flen,1860,NA
Flen,1870,NA
Flen,1880,NA
Flen,1890,NA
Flen,1900,NA
Flen,1910,NA
Flen,1920,NA
Flen,1930,NA
Flen,1940,NA
Flen,1950,4594
Flen,1960,5681
Flen,1965,9092
Flen,1967,9148
Gränna,1800,468
Gränna,1810,503
Gränna,1820,552
Gränna,1830,627
Gränna,1840,735
Gränna,1850,902
Gränna,1860,1174
Gränna,1870,1272
