Kommun,År,Befolkning
Ale,1950,12744
Ale,1951,12812
Ale,1952,12686
Ale,1953,12763
Ale,1954,12765
Ale,1955,12762
Ale,1956,12844
Ale,1957,12912
Ale,1958,12867
Ale,1959,12892
Ale,1960,13192
Ale,1961,13512
Ale,1962,13908
Ale,1963,14059
Ale,1964,14529
Ale,1965,14825
Ale,1966,15512
Ale,1967,15854
Ale,1968,15966
Ale,1969,16715
Ale,1970,17566
Ale,1971,18355
Ale,1972,19297
Ale,1973,20558
Ale,1974,21537
Ale,1975,21980
Ale,1976,22132
Ale,1977,22652
Ale,1978,22865
Ale,1979,22884
Ale,1980,23312
Ale,1981,23373
Ale,1982,23515
Ale,1983,23562
Ale,1984,23486
Ale,1985,23412
Ale,1986,23402
Ale,1987,23492
Ale,1988,23528
Ale,1989,23853
Ale,1990,24071
Ale,1991,24517
Ale,1992,25029
Ale,1993,25204
Ale,1994,25356
Ale,1995,25377
Ale,1996,25316
Ale,1997,25338
Ale,1998,25292
Ale,1999,25329
Ale,2000,25421
Ale,2001,25593
Ale,2002,25835
Ale,2003,25993
Ale,2004,26288
Ale,2005,26405
Ale,2006,26800
Ale,2007,27092
Ale,2008,27323
Ale,2009,27394
Ale,2010,27442
Ale,2011,27577
Ale,2012,27842
Ale,2013,28074
Ale,2014,28423
Ale,2015,28862
Ale,2016,29549
Ale,2017,30223
Ale,2018,30926
Ale,2019,31402
Ale,2020,31868
Alingsås,1950,23189
Alingsås,1951,23386
Alingsås,1952,23336
Alingsås,1953,23325
Alingsås,1954,23604
Alingsås,1955,23616
Alingsås,1956,23820
Alingsås,1957,23903
Alingsås,1958,24000
Alingsås,1959,24156
Alingsås,1960,24193
Alingsås,1961,24394
Alingsås,1962,24540
Alingsås,1963,24675
Alingsås,1964,25159
Alingsås,1965,25714
Alingsås,1966,25961
Alingsås,1967,26141
Alingsås,1968,26071
Alingsås,1969,26350
Alingsås,1970,26529
Alingsås,1971,26633
Alingsås,1972,26741
Alingsås,1973,26954
Alingsås,1974,27509
Alingsås,1975,27796
Alingsås,1976,28172
Alingsås,1977,28519
Alingsås,1978,28698
Alingsås,1979,29109
Alingsås,1980,29637
Alingsås,1981,29979
Alingsås,1982,30355
Alingsås,1983,30758
Alingsås,1984,31074
Alingsås,1985,31394
Alingsås,1986,31718
Alingsås,1987,32051
Alingsås,1988,32402
Alingsås,1989,33043
Alingsås,1990,33626
Alingsås,1991,33936
Alingsås,1992,34088
Alingsås,1993,34212
Alingsås,1994,34525
Alingsås,1995,34758
Alingsås,1996,34775
Alingsås,1997,34824
Alingsås,1998,34930
Alingsås,1999,34963
Alingsås,2000,35153
Alingsås,2001,35257
Alingsås,2002,35327
Alingsås,2003,35530
Alingsås,2004,35761
Alingsås,2005,36010
Alingsås,2006,36481
Alingsås,2007,36739
Alingsås,2008,37247
Alingsås,2009,37515
Alingsås,2010,37796
Alingsås,2011,38053
Alingsås,2012,38355
Alingsås,2013,38619
Alingsås,2014,39188
Alingsås,2015,39602
Alingsås,2016,40045
Alingsås,2017,40390
Alingsås,2018,41070
Alingsås,2019,41420
Alingsås,2020,41602
Alvesta,1950,18354
Alvesta,1951,18409
Alvesta,1952,18400
Alvesta,1953,18512
Alvesta,1954,18458
Alvesta,1955,18584
Alvesta,1956,18586
Alvesta,1957,18464
Alvesta,1958,18510
Alvesta,1959,18698
Alvesta,1960,18647
Alvesta,1961,18630
Alvesta,1962,18684
Alvesta,1963,18602
Alvesta,1964,18557
Alvesta,1965,18815
Alvesta,1966,18791
Alvesta,1967,19024
Alvesta,1968,18940
Alvesta,1969,19131
Alvesta,1970,19184
Alvesta,1971,18858
Alvesta,1972,18659
Alvesta,1973,18969
Alvesta,1974,18785
Alvesta,1975,18784
Alvesta,1976,18918
Alvesta,1977,19018
Alvesta,1978,19158
Alvesta,1979,19214
Alvesta,1980,19442
Alvesta,1981,19846
Alvesta,1982,19710
Alvesta,1983,19773
Alvesta,1984,19791
Alvesta,1985,19518
Alvesta,1986,19552
Alvesta,1987,19515
Alvesta,1988,19579
Alvesta,1989,19767
Alvesta,1990,19754
Alvesta,1991,19839
Alvesta,1992,19762
Alvesta,1993,19813
Alvesta,1994,20012
Alvesta,1995,19714
Alvesta,1996,19441
Alvesta,1997,19387
Alvesta,1998,19171
Alvesta,1999,19035
Alvesta,2000,18916
Alvesta,2001,18957
Alvesta,2002,18930
Alvesta,2003,18879
Alvesta,2004,18865
Alvesta,2005,18684
Alvesta,2006,18741
Alvesta,2007,18776
Alvesta,2008,18775
Alvesta,2009,18757
Alvesta,2010,18802
Alvesta,2011,18917
Alvesta,2012,19034
Alvesta,2013,19280
Alvesta,2014,19503
Alvesta,2015,19581
Alvesta,2016,19850
Alvesta,2017,20026
Alvesta,2018,20150
Alvesta,2019,20134
Alvesta,2020,20224
Aneby,1950,7212
Aneby,1951,7178
Aneby,1952,7172
Aneby,1953,7127
Aneby,1954,7159
Aneby,1955,7057
Aneby,1956,7023
Aneby,1957,7010
Aneby,1958,6978
Aneby,1959,6929
Aneby,1960,6874
Aneby,1961,6785
Aneby,1962,6765
Aneby,1963,6711
Aneby,1964,6671
Aneby,1965,6645
Aneby,1966,6539
Aneby,1967,6458
Aneby,1968,6318
Aneby,1969,6327
Aneby,1970,6296
Aneby,1971,6345
Aneby,1972,6341
Aneby,1973,6363
Aneby,1974,6452
Aneby,1975,6508
Aneby,1976,6565
Aneby,1977,6625
Aneby,1978,6764
Aneby,1979,6785
Aneby,1980,6873
Aneby,1981,6898
Aneby,1982,6933
Aneby,1983,6913
Aneby,1984,6903
Aneby,1985,6897
Aneby,1986,6881
Aneby,1987,6919
Aneby,1988,7002
Aneby,1989,7038
Aneby,1990,7159
Aneby,1991,7181
Aneby,1992,7187
Aneby,1993,7269
Aneby,1994,7284
Aneby,1995,7169
Aneby,1996,7083
Aneby,1997,6953
Aneby,1998,6806
Aneby,1999,6799
Aneby,2000,6682
Aneby,2001,6686
Aneby,2002,6631
Aneby,2003,6666
Aneby,2004,6624
Aneby,2005,6576
Aneby,2006,6551
Aneby,2007,6506
Aneby,2008,6523
Aneby,2009,6446
Aneby,2010,6393
Aneby,2011,6415
Aneby,2012,6407
Aneby,2013,6375
Aneby,2014,6426
Aneby,2015,6537
Aneby,2016,6603
Aneby,2017,6776
Aneby,2018,6832
Aneby,2019,6848
Aneby,2020,6821
Arboga,1950,13174
Arboga,1951,13603
Arboga,1952,13624
Arboga,1953,13751
Arboga,1954,13846
Arboga,1955,14007
Arboga,1956,13956
Arboga,1957,13941
Arboga,1958,13939
Arboga,1959,14031
Arboga,1960,14146
Arboga,1961,14267
Arboga,1962,14448
Arboga,1963,14604
Arboga,1964,14787
Arboga,1965,14920
Arboga,1966,14903
Arboga,1967,14920
Arboga,1968,14802
Arboga,1969,14791
Arboga,1970,14830
Arboga,1971,14876
Arboga,1972,14824
Arboga,1973,14820
Arboga,1974,14706
Arboga,1975,14717
Arboga,1976,14653
Arboga,1977,14698
Arboga,1978,14843
Arboga,1979,14834
Arboga,1980,14944
Arboga,1981,14734
Arboga,1982,14623
Arboga,1983,14575
Arboga,1984,14484
Arboga,1985,14441
Arboga,1986,14380
Arboga,1987,14384
Arboga,1988,14457
Arboga,1989,14536
Arboga,1990,14622
Arboga,1991,14605
Arboga,1992,14552
Arboga,1993,14572
Arboga,1994,14646
Arboga,1995,14554
Arboga,1996,14326
Arboga,1997,14105
Arboga,1998,14070
Arboga,1999,14036
Arboga,2000,13870
Arboga,2001,13616
Arboga,2002,13574
Arboga,2003,13514
Arboga,2004,13406
Arboga,2005,13380
Arboga,2006,13391
Arboga,2007,13369
Arboga,2008,13301
Arboga,2009,13302
Arboga,2010,13285
Arboga,2011,13302
Arboga,2012,13353
Arboga,2013,13493
Arboga,2014,13631
Arboga,2015,13858
Arboga,2016,13903
Arboga,2017,13934
Arboga,2018,14138
Arboga,2019,14087
Arboga,2020,14039
Arjeplog,1950,5320
Arjeplog,1951,5418
Arjeplog,1952,5499
Arjeplog,1953,5601
Arjeplog,1954,5753
Arjeplog,1955,5711
Arjeplog,1956,5703
Arjeplog,1957,5706
Arjeplog,1958,5739
Arjeplog,1959,5624
Arjeplog,1960,5573
Arjeplog,1961,5483
Arjeplog,1962,5388
Arjeplog,1963,5266
Arjeplog,1964,5175
Arjeplog,1965,5063
Arjeplog,1966,4978
Arjeplog,1967,4871
Arjeplog,1968,4681
Arjeplog,1969,4505
Arjeplog,1970,4379
Arjeplog,1971,4378
Arjeplog,1972,4348
Arjeplog,1973,4266
Arjeplog,1974,4221
Arjeplog,1975,4192
Arjeplog,1976,4152
Arjeplog,1977,4133
Arjeplog,1978,4049
Arjeplog,1979,4034
Arjeplog,1980,4041
Arjeplog,1981,4000
Arjeplog,1982,3980
Arjeplog,1983,3960
Arjeplog,1984,3917
Arjeplog,1985,3927
Arjeplog,1986,3831
Arjeplog,1987,3818
Arjeplog,1988,3814
Arjeplog,1989,3815
Arjeplog,1990,3753
Arjeplog,1991,3743
Arjeplog,1992,3727
Arjeplog,1993,3730
Arjeplog,1994,3676
Arjeplog,1995,3697
Arjeplog,1996,3615
Arjeplog,1997,3575
Arjeplog,1998,3517
Arjeplog,1999,3455
Arjeplog,2000,3384
Arjeplog,2001,3313
Arjeplog,2002,3291
Arjeplog,2003,3259
Arjeplog,2004,3224
Arjeplog,2005,3159
Arjeplog,2006,3151
Arjeplog,2007,3089
Arjeplog,2008,3146
Arjeplog,2009,3143
Arjeplog,2010,3161
Arjeplog,2011,3114
Arjeplog,2012,3054
Arjeplog,2013,2980
Arjeplog,2014,2907
Arjeplog,2015,2887
Arjeplog,2016,2876
Arjeplog,2017,2821
Arjeplog,2018,2794
Arjeplog,2019,2785
Arjeplog,2020,2718
Arvidsjaur,1950,11096
Arvidsjaur,1951,10982
Arvidsjaur,1952,10943
Arvidsjaur,1953,10917
Arvidsjaur,1954,10861
Arvidsjaur,1955,10754
Arvidsjaur,1956,10653
Arvidsjaur,1957,10598
Arvidsjaur,1958,10479
Arvidsjaur,1959,10474
Arvidsjaur,1960,10317
Arvidsjaur,1961,10234
Arvidsjaur,1962,10058
Arvidsjaur,1963,9927
Arvidsjaur,1964,9651
Arvidsjaur,1965,9374
Arvidsjaur,1966,9257
Arvidsjaur,1967,9032
Arvidsjaur,1968,8692
Arvidsjaur,1969,8476
Arvidsjaur,1970,8311
Arvidsjaur,1971,8244
Arvidsjaur,1972,8216
Arvidsjaur,1973,8154
Arvidsjaur,1974,8092
Arvidsjaur,1975,8050
Arvidsjaur,1976,8063
Arvidsjaur,1977,8050
Arvidsjaur,1978,8127
Arvidsjaur,1979,8217
Arvidsjaur,1980,8392
Arvidsjaur,1981,8386
Arvidsjaur,1982,8336
Arvidsjaur,1983,8331
Arvidsjaur,1984,8264
Arvidsjaur,1985,8185
Arvidsjaur,1986,8136
Arvidsjaur,1987,8098
Arvidsjaur,1988,8074
Arvidsjaur,1989,8080
Arvidsjaur,1990,8081
Arvidsjaur,1991,8014
Arvidsjaur,1992,7965
Arvidsjaur,1993,7879
Arvidsjaur,1994,7974
Arvidsjaur,1995,7788
Arvidsjaur,1996,7716
Arvidsjaur,1997,7546
Arvidsjaur,1998,7401
Arvidsjaur,1999,7233
Arvidsjaur,2000,7148
Arvidsjaur,2001,7129
Arvidsjaur,2002,7017
Arvidsjaur,2003,6948
Arvidsjaur,2004,6894
Arvidsjaur,2005,6814
Arvidsjaur,2006,6791
Arvidsjaur,2007,6751
Arvidsjaur,2008,6665
Arvidsjaur,2009,6622
Arvidsjaur,2010,6529
Arvidsjaur,2011,6494
Arvidsjaur,2012,6467
Arvidsjaur,2013,6471
Arvidsjaur,2014,6484
Arvidsjaur,2015,6471
Arvidsjaur,2016,6442
Arvidsjaur,2017,6440
Arvidsjaur,2018,6334
Arvidsjaur,2019,6220
Arvidsjaur,2020,6145
Arvika,1950,30908
Arvika,1951,31039
Arvika,1952,30947
Arvika,1953,30781
Arvika,1954,30615
Arvika,1955,30744
Arvika,1956,30480
Arvika,1957,30151
Arvika,1958,29935
Arvika,1959,29803
