name,stadsdel
Sibbarp,Limhamn-Bunkeflo
Bunkeflostrand,Limhamn-Bunkeflo
Limhamns Hamnområde,Limhamn-Bunkeflo
Kalkbrottet,Limhamn-Bunkeflo
Annetorp,Limhamn-Bunkeflo
Gamla Limhamn,Limhamn-Bunkeflo
Elinelund,Limhamn-Bunkeflo
Bellevue,Limhamn-Bunkeflo
Djupadal,Limhamn-Bunkeflo
Rosenvång,Limhamn-Bunkeflo
Västervång,Västra innerstaden
Nya Bellevue,Limhamn-Bunkeflo
Vintrie,Limhamn-Bunkeflo
Ribersborgsstranden,Västra innerstaden
Hyllieby,Limhamn-Bunkeflo
Fridhem,Västra innerstaden
Mellanheden,Västra innerstaden
Kroksbäck,Hyllie
Hyllievång,Hyllie
Solbacken,Västra innerstaden
Bellevuegården,Hyllie
Rönneholm,Västra innerstaden
Ribersborg,Västra innerstaden
Dammfri,Västra innerstaden
Naffentorp,Limhamn-Bunkeflo
Kroksbäcksparken,Hyllie
Lorensborg,Hyllie
Västra Hamnen,Centrum
Holma,Hyllie
Ärtholmen,Hyllie
Kronprinsen,Västra innerstaden
Kronborg,Västra innerstaden
Fågelbacken,Västra innerstaden
Malmö Hus,Centrum
Stadion,Hyllie
Svågertorp,Hyllie
Södertorp,Hyllie
Lindeborg,Hyllie
Hästhagen,Västra innerstaden
Pildammsparken,Västra innerstaden
Teatern,Västra innerstaden
Borgmästaregården,Hyllie
Kulladal,Hyllie
Gröndal,Hyllie
Davidshall,Centrum
Norra Hamnen,Centrum
Allmänna Sjukhuset,Södra innerstaden
Flensburg,Södra innerstaden
Gamla Staden,Centrum
Rådmansvången,Centrum
Lugnet,Centrum
Almvik,Fosie
Västra Söderkulla,Fosie
Södervärn,Södra innerstaden
Inre Hamnen,Centrum
Eriksfält,Fosie
Mellersta Hamnen,Centrum
Frihamnen,Centrum
Heleneholm,Fosie
Möllevången,Södra innerstaden
Östra Söderkulla,Fosie
Södra Sofielund,Södra innerstaden
Rörsjöstaden,Centrum
Lindängen,Fosie
Västra Sorgenfri,Centrum
Slussen,Centrum
Norra Sofielund,Södra innerstaden
Hermodsdal,Fosie
Nydala,Fosie
Oljehamnen,Centrum
Värnhem,Centrum
Almhög,Fosie
Augustenborg,Fosie
Sofielunds Industriområde,Södra innerstaden
Lönngården,Södra innerstaden
Annelund,Södra innerstaden
Östervärn,Centrum
Gullviksborg,Fosie
Östra Sorgenfri,Södra innerstaden
Fosieby,Fosie
Kastanjegården,Fosie
Norra Sorgenfri,Centrum
Persborg,Rosengård
Katrinelund,Centrum
Törnrosen,Rosengård
Ellstorp,Centrum
Östra Hamnen,Centrum
Gullvik,Fosie
Emilstorp,Rosengård
Lockarp,Oxie
Hindby,Fosie
Örtagården,Rosengård
Kirsebergsstaden,Kirseberg
Västra Kattarp,Rosengård
Håkanstorp,Kirseberg
Apelgården,Rosengård
Rosengård Centrum,Rosengård
Rostorp,Kirseberg
Östra Kyrkogården,Rosengård
Fosieby Industriområde,Fosie
Johanneslust,Kirseberg
Herrgården,Rosengård
Spillepengen,Centrum
Kryddgården,Rosengård
Segevång,Kirseberg
Almgården,Husie
Jägersro,Husie
Sege Industriområde,Kirseberg
Bulltofta,Kirseberg
Höja,Husie
Videdal,Husie
Segemölla,Kirseberg
Fredriksberg,Fosie
Jägersro Villastad,Husie
Stenkällan,Husie
Elisedal,Husie
Valdemarsro,Kirseberg
Virentofta,Husie
Riseberga,Husie
Kristineberg,Oxie
Kungshög,Oxie
Kvarnby,Husie
Östra Skrävlinge,Husie
Toftanäs,Husie
Oxie Kyrkby,Oxie
Fortuna Hemgården,Husie
Toarp,Oxie
Södra Sallerup,Husie
Klagshamn,Limhamn-Bunkeflo
Tygelsjö Vång,Limhamn-Bunkeflo
Skumparp,Limhamn-Bunkeflo
Västra Klagstorp,Limhamn-Bunkeflo
Tygelsjö by,Limhamn-Bunkeflo
Glostorp,Oxie
Käglinge,Oxie
Oxievång,Oxie
