Hemmalag,Bortalag,Hemmamål,Bortamål,Publik,Domare,Arena,Datum,Säsong
Örgryte,Hammarby,5,1,4000,"Carl Olsson, Göteborg",NA,1924-08-03,1924_1925
IFK Norrköping,Landskrona,0,1,1500,"Ivar Andersson, Norrköping",NA,1924-08-03,1924_1925
IFK Malmö,IFK Göteborg,1,1,3276,"Johan Nilsson, Malmö",NA,1924-08-03,1924_1925
Helsingborg,Gais,1,2,3000,"Carl Christiansson, Helsingborg",NA,1924-08-03,1924_1925
Eskilstuna,Sleipner,1,3,700,"Oscar Ternström, Eskilstuna",NA,1924-08-03,1924_1925
AIK,Västerås IK,5,1,2000,"Arne Fredriksson, Stockholm",NA,1924-08-03,1924_1925
IFK Göteborg,Gais,1,3,3600,"Sigfrid Benzer, Halmstad",NA,1924-08-08,1924_1925
Västerås IK,Eskilstuna,0,1,600,"Bertil Norén, Västerås",NA,1924-08-10,1924_1925
Sleipner,Örgryte,0,1,2280,"Ernfrid Byman, Norrköping",NA,1924-08-10,1924_1925
Landskrona,IFK Göteborg,0,4,1000,"Gustaf Pettersson, Stockholm",NA,1924-08-10,1924_1925
Helsingborg,IFK Malmö,4,2,2400,"Carl Christiansson, Helsingborg",NA,1924-08-10,1924_1925
Hammarby,AIK,1,7,2000,"Axel Bergqvist, Stockholm",NA,1924-08-10,1924_1925
Gais,IFK Norrköping,3,2,3000,"Erik W. Olsson, Falkenberg",NA,1924-08-10,1924_1925
IFK Norrköping,Sleipner,3,2,2300,"Theodor Malm, Stockholm",NA,1924-08-15,1924_1925
Gais,Örgryte,1,1,5500,"Erik Ohlsson, Malmö",NA,1924-08-15,1924_1925
IFK Malmö,Örgryte,0,1,2378,"Johan Nilsson, Malmö",NA,1924-08-17,1924_1925
Landskrona,Helsingborg,1,1,2000,"Ivar Carlesson, Stockholm",NA,1924-08-17,1924_1925
IFK Göteborg,Västerås IK,8,1,650,"David Andersson, Göteborg",NA,1924-08-17,1924_1925
Eskilstuna,Hammarby,7,2,700,"Bertil Norén, Västerås",NA,1924-08-17,1924_1925
AIK,Sleipner,3,2,3800,"Oscar Gustafsson, Stockholm",NA,1924-08-17,1924_1925
IFK Göteborg,Örgryte,2,2,6010,"Anton Lindbergh, Vaggeryd",NA,1924-08-22,1924_1925
Sleipner,Gais,1,2,2100,"Ernfrid Byman, Norrköping",NA,1924-08-24,1924_1925
IFK Malmö,Västerås IK,3,3,1764,"Gustaf Johansson, Malmö",NA,1924-08-24,1924_1925
Helsingborg,Eskilstuna,3,2,2500,"Carl Christiansson, Helsingborg",NA,1924-08-24,1924_1925
Hammarby,Landskrona,3,3,3000,"Axel Bergqvist, Stockholm",NA,1924-08-24,1924_1925
IFK Göteborg,AIK,1,0,7000,"David Andersson, Göteborg",NA,1924-08-24,1924_1925
Örgryte,AIK,5,1,8023,"Erik W. Olsson, Falkenberg",NA,1924-08-31,1924_1925
