Contestant,Voter,Score,Artist,Song,Year
Israel,Austria,1,Dafna Dekel,Ze Rak Sport,1992
Spain,Austria,2,Serafín,Todo esto es la música,1992
Denmark,Austria,3,Kenny Lübcke & Lotte Nilsson,Alt det som ingen ser,1992
Greece,Austria,4,Cleopatra,Olou tou kosmou i Elpida,1992
Netherlands,Austria,5,Humphrey Campbell,Wijs me de weg,1992
Italy,Austria,6,Mia Martini,Rapsodia,1992
Iceland,Austria,7,Heart 2 Heart,Nei eða já,1992
Malta,Austria,8,Mary Spiteri,Little Child,1992
Ireland,Austria,10,Linda Martin,Why Me?,1992
United Kingdom,Austria,12,Michael Ball,One Step Out of Time,1992
Spain,Belgium,1,Serafín,Todo esto es la música,1992
Netherlands,Belgium,2,Humphrey Campbell,Wijs me de weg,1992
Norway,Belgium,3,Merethe Trøan,Visjoner,1992
Iceland,Belgium,4,Heart 2 Heart,Nei eða já,1992
Switzerland,Belgium,5,Daisy Auvray,Mister Music Man,1992
Germany,Belgium,6,Wind,Träume sind für alle da,1992
Ireland,Belgium,7,Linda Martin,Why Me?,1992
Austria,Belgium,8,Tony Wegas,Zusammen geh'n,1992
Malta,Belgium,10,Mary Spiteri,Little Child,1992
United Kingdom,Belgium,12,Michael Ball,One Step Out of Time,1992
Malta,Cyprus,1,Mary Spiteri,Little Child,1992
Yugoslavia,Cyprus,2,Extra Nena,Ljubim te pesmama,1992
France,Cyprus,3,Kali,Monté la riviè,1992
Israel,Cyprus,4,Dafna Dekel,Ze Rak Sport,1992
Ireland,Cyprus,5,Linda Martin,Why Me?,1992
United Kingdom,Cyprus,6,Michael Ball,One Step Out of Time,1992
Netherlands,Cyprus,7,Humphrey Campbell,Wijs me de weg,1992
Austria,Cyprus,8,Tony Wegas,Zusammen geh'n,1992
Italy,Cyprus,10,Mia Martini,Rapsodia,1992
Greece,Cyprus,12,Cleopatra,Olou tou kosmou i Elpida,1992
Spain,Denmark,1,Serafín,Todo esto es la música,1992
Israel,Denmark,2,Dafna Dekel,Ze Rak Sport,1992
Germany,Denmark,3,Wind,Träume sind für alle da,1992
Sweden,Denmark,4,Christer Björkman,I morgon är en annan dag,1992
Iceland,Denmark,5,Heart 2 Heart,Nei eða já,1992
Norway,Denmark,6,Merethe Trøan,Visjoner,1992
Austria,Denmark,7,Tony Wegas,Zusammen geh'n,1992
Malta,Denmark,8,Mary Spiteri,Little Child,1992
Ireland,Denmark,10,Linda Martin,Why Me?,1992
United Kingdom,Denmark,12,Michael Ball,One Step Out of Time,1992
Norway,Finland,1,Merethe Trøan,Visjoner,1992
Portugal,Finland,2,Dina,Amor d'água fresca,1992
Spain,Finland,3,Serafín,Todo esto es la música,1992
Yugoslavia,Finland,4,Extra Nena,Ljubim te pesmama,1992
Greece,Finland,5,Cleopatra,Olou tou kosmou i Elpida,1992
United Kingdom,Finland,6,Michael Ball,One Step Out of Time,1992
France,Finland,7,Kali,Monté la riviè,1992
Cyprus,Finland,8,Evridiki,Teriazoume,1992
Ireland,Finland,10,Linda Martin,Why Me?,1992
Italy,Finland,12,Mia Martini,Rapsodia,1992
Sweden,France,1,Christer Björkman,I morgon är en annan dag,1992
Cyprus,France,2,Evridiki,Teriazoume,1992
Belgium,France,3,Morgane,"Nous, on veut des violons",1992
Netherlands,France,4,Humphrey Campbell,Wijs me de weg,1992
Yugoslavia,France,5,Extra Nena,Ljubim te pesmama,1992
Spain,France,6,Serafín,Todo esto es la música,1992
Greece,France,7,Cleopatra,Olou tou kosmou i Elpida,1992
