Kommunkod,Kommun,Parti,År,Antal
0114,Upplands Väsby,Centerpartiet,1973,2917
0114,Upplands Väsby,ej röstande,1973,1167
0114,Upplands Väsby,Kristdemokraterna,1973,122
0114,Upplands Väsby,Liberalerna,1973,1201
0114,Upplands Väsby,Miljöpartiet,1973,NA
0114,Upplands Väsby,Moderaterna,1973,1918
0114,Upplands Väsby,ogiltiga valsedlar,1973,31
0114,Upplands Väsby,Socialdemokraterna,1973,5297
0114,Upplands Väsby,Sverigedemokraterna,1973,NA
0114,Upplands Väsby,Vänsterpartiet,1973,807
0114,Upplands Väsby,övriga partier,1973,76
0115,Vallentuna,Centerpartiet,1973,2403
0115,Vallentuna,ej röstande,1973,574
0115,Vallentuna,Kristdemokraterna,1973,115
0115,Vallentuna,Liberalerna,1973,755
0115,Vallentuna,Miljöpartiet,1973,NA
0115,Vallentuna,Moderaterna,1973,1612
0115,Vallentuna,ogiltiga valsedlar,1973,11
0115,Vallentuna,Socialdemokraterna,1973,2632
0115,Vallentuna,Sverigedemokraterna,1973,NA
0115,Vallentuna,Vänsterpartiet,1973,400
0115,Vallentuna,övriga partier,1973,54
0117,Österåker,Centerpartiet,1973,NA
0117,Österåker,ej röstande,1973,NA
0117,Österåker,Kristdemokraterna,1973,NA
0117,Österåker,Liberalerna,1973,NA
0117,Österåker,Miljöpartiet,1973,NA
0117,Österåker,Moderaterna,1973,NA
0117,Österåker,ogiltiga valsedlar,1973,NA
0117,Österåker,Socialdemokraterna,1973,NA
0117,Österåker,Sverigedemokraterna,1973,NA
0117,Österåker,Vänsterpartiet,1973,NA
0117,Österåker,övriga partier,1973,NA
0120,Värmdö,Centerpartiet,1973,1671
0120,Värmdö,ej röstande,1973,702
0120,Värmdö,Kristdemokraterna,1973,85
0120,Värmdö,Liberalerna,1973,614
0120,Värmdö,Miljöpartiet,1973,NA
0120,Värmdö,Moderaterna,1973,1168
0120,Värmdö,ogiltiga valsedlar,1973,20
0120,Värmdö,Socialdemokraterna,1973,3473
0120,Värmdö,Sverigedemokraterna,1973,NA
0120,Värmdö,Vänsterpartiet,1973,490
0120,Värmdö,övriga partier,1973,44
0123,Järfälla,Centerpartiet,1973,6375
0123,Järfälla,ej röstande,1973,2135
0123,Järfälla,Kristdemokraterna,1973,328
0123,Järfälla,Liberalerna,1973,3443
0123,Järfälla,Miljöpartiet,1973,NA
0123,Järfälla,Moderaterna,1973,5393
0123,Järfälla,ogiltiga valsedlar,1973,81
0123,Järfälla,Socialdemokraterna,1973,10998
0123,Järfälla,Sverigedemokraterna,1973,NA
0123,Järfälla,Vänsterpartiet,1973,1865
0123,Järfälla,övriga partier,1973,183
