Year,Month,MC,Cars,"Car with trailer, campervan and minibus",Coaches,Trucks and vans from 6 m,In total,stat_id
2000,7,13026,487229,23660,4322,8927,537164,46
2000,8,7522,304599,12817,5857,10360,341155,47
2000,9,2207,186696,4163,5388,10924,209378,48
2000,10,690,195692,3198,2987,11566,214133,49
2000,11,131,173864,2579,2089,11821,190484,41
2000,12,41,172741,2170,2069,10304,187325,40
2001,1,24,144717,1980,1035,11170,158926,39
2001,2,45,150684,2315,1147,10444,164635,38
2001,3,106,167439,2711,1602,12887,184745,37
2001,4,707,198243,3554,2668,12455,217627,36
2001,5,2770,221784,4958,4592,13910,248014,35
2001,6,4473,262209,8538,4933,13055,293208,34
2001,7,8658,402769,20721,4860,12637,449645,33
2001,8,5250,306815,12375,4840,13859,343139,32
2001,9,1480,214663,5568,4278,12665,238654,31
2001,10,702,219017,4618,2718,14207,241262,30
2001,11,102,190965,3975,2414,14086,211542,29
2001,12,13,181502,3192,2658,12110,199475,28
2002,1,12,172366,2915,1464,14305,191062,27
2002,2,51,173155,2390,1620,13176,190392,26
2002,3,381,216564,3470,2202,14884,237501,25
2002,4,782,225637,4020,2877,15887,249203,50
2002,5,3273,265408,5477,5063,15723,294944,23
2002,6,4611,297874,9337,5058,14843,331723,22
2002,7,8361,432202,19692,5450,14694,480399,21
2002,8,5429,342386,11126,4627,15541,379109,20
2002,9,2355,263548,4973,4268,15773,290917,19
2002,10,455,265205,4476,3182,16670,289988,18
2002,11,122,228632,3371,2823,15463,250411,17
2002,12,36,223341,2695,2799,13844,242715,16
2003,1,52,198855,2800,1705,15137,218549,15
2003,2,50,207033,2925,1883,15071,226962,14
2003,3,542,229199,3845,2089,16811,252486,13
2003,4,1082,256462,4978,2974,16685,282181,12
2003,5,3168,282273,6330,4263,17421,313455,11
2003,6,5153,326488,11014,4594,17328,364577,10
2003,7,8078,440144,22204,4643,17352,492421,9
2003,8,5795,371469,14453,4416,17972,414105,8
2003,9,2152,286441,6040,4507,19205,318345,7
2003,10,623,302076,4905,3573,20172,331349,51
2003,11,151,256775,3787,3342,18565,282620,5
2003,12,35,261167,3196,3305,16683,284386,4
2004,1,24,229382,3037,2660,17195,252298,1
2004,2,58,250625,3561,2947,17134,274325,2
2004,3,306,273501,4292,3357,20385,301841,3
2004,4,1421,300036,5620,4155,18964,330196,42
2004,5,10808,333686,7735,9095,18703,380027,43
2004,6,4388,363328,11468,6456,20440,406080,44
2004,7,7345,491798,23596,6352,18174,547265,52
2004,8,5975,405263,15353,5817,19491,451899,53
2004,9,2331,329103,6310,5559,20481,363784,54
2004,10,720,332773,5394,4327,20225,363439,55
2004,11,198,299687,4305,3753,20222,328165,56
2004,12,41,298832,3561,3792,19132,325358,57
2005,1,49,273991,3752,3382,18036,299210,58
2005,2,51,274592,3761,3218,18410,300032,59
2005,3,255,323214,4946,3707,20630,352752,60
2005,4,1273,332799,6309,4338,22522,367241,61
2005,5,3370,383499,8561,5613,22671,423714,62
2005,6,5131,420287,12906,5826,23841,467991,63
2005,7,8252,527138,25211,5967,21406,587974,64
2005,8,6414,477026,18092,5737,24013,531282,65
2005,9,3278,392984,8353,6021,24713,435349,66
2005,10,1468,387427,7176,4483,24846,425400,67
2005,11,265,359718,5769,3869,25535,395156,68
2005,12,72,346965,4795,4319,22541,378692,69
2006,1,66,319689,4311,2961,22508,349535,70
2006,2,111,326419,4934,3132,22140,356736,71
2006,3,161,372752,5630,3601,26728,408872,72
2006,4,1164,395864,7714,4432,23967,433141,73
2006,5,3732,443632,12687,5542,28123,493716,74
2006,6,6471,485252,18398,7028,26130,543279,75
2006,7,9530,572190,31222,6328,23205,642475,76
2006,8,5748,539318,22297,5804,26654,599821,77
2006,9,3841,456452,11572,6352,26977,505194,78
2006,10,1190,461268,9556,4458,28316,504788,79
2006,11,338,432228,7318,3906,27712,471502,80
2006,12,144,422706,6549,4374,24480,458253,81
2007,1,87,396916,5505,3380,27496,433384,82
2007,2,50,381427,6040,3421,25205,416143,83
2007,3,884,458617,8938,3798,30617,502854,84
2007,4,2570,475535,11621,4912,27092,521730,85
2007,5,6616,528590,14802,5427,30097,585532,86
2007,6,6935,554873,20178,5901,28722,616609,87
2007,7,8789,672845,35740,5927,27134,750435,88
2007,8,7368,627183,24828,5880,28983,694242,89
2007,9,3114,526489,13505,5578,28370,577056,90
2007,10,1613,549903,11597,4397,30649,598159,91
2007,11,350,502135,9053,3718,30225,545481,92
2007,12,191,468836,7830,3650,23836,504343,93
2008,1,89,462452,7084,2869,27969,500463,94
2008,2,171,480078,7616,2910,28393,519168,95
2008,3,373,493118,9337,3356,27670,533854,96
2008,4,1668,519182,9906,3921,31225,565902,97
2008,5,7107,570782,13880,5260,30505,627534,98
2008,6,6467,594079,19491,5339,28910,654286,99
2008,7,8842,675027,33362,5010,28756,750997,100
2008,8,6246,626031,22802,4923,27572,687574,101
2008,9,2882,548714,12207,4740,29822,598365,102
2008,10,920,560553,10763,3550,30112,605898,103
2008,11,188,486383,7955,3141,26342,524009,104
2008,12,59,486483,6983,2960,23830,520315,105
2009,1,48,467638,6413,2398,24696,501193,106
2009,2,19,460295,7701,2549,24457,495021,107
2009,3,405,515014,8131,2561,27610,553721,108
2009,4,2724,542059,11290,3309,25679,585061,109
2009,5,4754,572443,14218,4404,24468,620287,110
2009,6,6319,584934,19410,4745,25767,641175,111
2009,7,8334,694808,34666,4695,23428,765931,112
2009,8,7005,634397,23340,4673,23208,692623,113
2009,9,3274,550129,11423,4119,25866,594811,114
2009,10,723,567205,11121,3413,25202,607664,115
2009,11,205,495559,8458,2865,24852,531939,116
2009,12,35,480542,7854,3011,22838,514280,117
2010,1,14,442382,6453,2216,23567,474632,118
2010,2,15,438352,6260,2551,23646,470824,119
2010,3,317,518433,8378,2849,29792,559769,120
2010,4,1604,526634,11884,4257,26519,570898,121
2010,5,3560,574542,15562,4323,27790,625777,122
2010,6,6063,598980,20343,5151,29927,660464,123
2010,7,9638,693488,37193,4508,26576,771403,124
2010,8,5933,640414,25181,4567,27534,703629,125
2010,9,2917,558741,13647,4074,29154,608533,126
2010,10,1091,559591,11713,3553,28386,604334,127
2010,11,101,493770,8806,2985,29169,534831,128
2010,12,1,454629,7153,3489,26235,491507,129
2011,1,6,464901,6255,2384,26200,499746,130
2011,2,23,445055,6894,2465,26303,480740,131
